"","""XX_rep1""","""XX_rep2""","""XX_rep3""","""XX_rep8""","""XX_rep9""","""XX_rep10""","""Xm_rep3""","""Xm_rep7""","""Xm_rep8""","""Xm_rep13""","""Xm_rep15""","""Xp_rep1""","""Xp_rep2""","""Xp_rep3""","""Xp_rep4""","""Xp_rep7""","""Xp_rep9"""
"216379_x_at",9.02650032420595,8.13695071823716,6.67439969685778,8.6401069604481,9.10056206284009,7.05264973368979,7.73433529579489,8.6498766915814,7.46292118361213,8.39112546472167,5.53004621021789,7.5970142029431,9.32091971817993,10.6148791895307,8.60235011773568,9.27467751576112,8.7501138892565
"202455_at",7.78221097582513,7.22126761629823,7.27349505332472,7.41099241321459,7.11043727393077,7.96017786291205,8.21022129571865,8.30010932382495,8.37830939593355,8.12918355261929,8.5410378660048,8.00502999490515,8.19067083174772,8.84188602946788,8.18357164005864,8.48438408444004,7.98112054558206
"222380_s_at",8.09886572240677,7.81963173067237,8.26372845485967,7.97571527418295,8.44303760495433,9.14176055890201,8.97621614241816,8.03522195363179,7.57776544896121,7.54821887019132,7.32135781300176,8.25283992244845,8.84593652160117,9.01661822633293,6.95514325824833,8.95125230934386,8.09184982207971
"1555372_at",6.83382919222497,6.71724543936257,8.43504817983214,7.82463514352127,7.35147309371383,8.55837007209382,7.8600739357465,7.67464526259772,9.74810567249259,7.51904479717733,8.11750931604675,7.89353348918437,7.05728078020962,8.16413424765221,6.726534224897,8.2451071698361,7.56501139213295
"232731_x_at",4.39157932506229,4.6486086497835,5.06036372441062,5.18932515219606,5.14007028479278,5.23440622999313,5.78012655537083,4.11929100885821,3.99348343141468,4.3317433886394,4.17017716321027,5.77395625925262,5.29159741219476,4.52697879030357,3.820325122492,4.38464201473663,4.15250380184797
"228913_at",5.10107619370948,4.44241822553223,5.04715446788003,4.71607571599973,5.06036650471759,6.07825607850695,5.72481425869199,4.73002495700903,4.34367882311128,5.2208536454709,4.56886545817266,5.52845955566809,5.67118981451952,6.25736596390565,4.35997103674564,6.15107085646529,5.22203570021708
"235167_at",7.76890309052987,8.73438014105996,9.68519173207996,9.31946274827629,10.0450263771465,8.96259087806873,7.62461805541832,8.71365890322788,8.30334004670125,8.25416376438046,8.34016142038069,9.25447770979752,7.99065679568806,8.30903130435228,8.17891527776118,8.09077082009317,9.19698279144247
"43544_at",8.58820560817199,7.30045661376119,7.66882681613687,7.57168523074133,7.7970477138407,8.72771595305837,8.93349442653064,8.37207165101506,8.70421189878439,8.58944690241053,8.4768848148534,8.73696807502665,9.06837717159598,9.31414103687106,8.50865118737324,9.17106313572139,8.55271671064633
"209707_at",7.91290226045325,7.61069962862364,7.71813300079285,7.85885923340958,7.06335824983407,6.71531502478285,6.63387374395673,6.84039407438637,7.26424261418953,7.78679355792609,7.2124344458211,7.14879557317123,6.61700891509515,6.91378043123687,7.91588398877991,6.85510067115346,7.04883120589357
"215057_at",5.96537089491722,6.16449999969706,6.89774094964771,5.74510051687775,6.49838587778117,7.17171126926227,6.70606204682286,6.48141700435419,6.4688269302861,6.48652505869512,6.18228578332959,7.22752088684323,6.25153921612307,6.95013055425034,5.90919242996473,6.67010410874405,7.02246091824613
"227926_s_at",7.57159037582991,6.81963063615038,6.67067216691076,6.48027637929496,6.71839625482937,6.33022381074867,5.71860822597679,6.00553634538253,5.87013036393382,6.74634072124589,5.96965548163224,5.97852004331265,5.93238395065284,6.37260928351844,6.61597179161505,6.46960697149192,6.71371821337564
"226125_at",8.13771348662933,6.42559972487805,7.6963158155655,5.69113261472286,6.94848627756129,6.79911227733592,6.51905489104473,7.65414871703657,6.63400020277559,7.13916714467856,7.09046621138318,8.0068306880403,7.7524337432492,7.07476871862932,7.72879170374237,7.37710648183681,7.03360688473122
"221963_x_at",7.56559916521394,7.17796364796283,7.39280977202691,7.37931794390747,6.81052910658672,8.15048227255387,7.99486518430384,6.81052910658672,6.79039919809375,7.6022374768807,7.10509318760442,8.09904511137622,7.98597007637734,7.16794408799971,6.88814367379973,7.63876950629,7.35989164803829
"242121_at",8.6036828144495,9.02055445736076,9.68331754265139,9.76318214519452,10.153895554188,10.73845487228,10.5614292811343,9.38915045326473,8.90488799465052,9.28403228800417,8.73879598697737,10.4727367040206,10.9123079986511,10.5752452119449,8.47663937661919,10.7234405608674,9.54137715805087
"232478_at",5.97330753093429,5.74259633833744,5.42687808864826,4.70561637174998,5.75204610389694,5.24015382058764,6.49840042710121,5.45383952893058,4.71232032374643,5.86045076105494,5.22310676582325,6.10849216089919,5.2769468601259,7.0133710101436,5.00021582549463,6.08018892241636,6.00223302174251
"243648_at",7.45448177253564,5.96302662374721,5.91996567675476,7.36469872406227,7.32371332890398,8.32897039744518,7.09436994646035,5.97204888117761,6.87200652029828,5.88779007451969,7.75425109495982,6.63405850527288,8.3786476479727,6.95763757394198,6.80220631818846,6.83207913166223,6.50547706224161
"212596_s_at",8.43369946982869,8.36030550985814,8.71580569652515,8.64019993125003,8.26675263429221,9.61458260060708,9.11686509418242,8.86010636140222,9.23520813190719,8.62587812041381,9.18285428057613,8.49046286087255,8.89665142561912,9.43686340968118,8.66896842148373,9.58357195281786,8.63648629807998
"215639_at",5.66717345429122,5.65387525088053,5.6240279358062,5.51790691248422,5.91266790918061,6.3640581428746,6.6174180274538,5.82959655919038,5.2721305945457,5.485051503452,5.25985958162921,7.38593398707809,6.21272561931442,6.71467551178748,5.66746647225579,5.63979087083997,5.5825000816144
"216125_s_at",7.31949241835772,7.51419803635213,7.78707527778524,7.70383174989117,7.52369836350407,6.69344974647746,6.76334665015904,7.62871767491808,7.31194849018898,7.43560764417676,7.57142187373512,7.26454152612608,6.04952396244986,6.52779830112041,7.81496092738349,6.57696316839861,7.34445039445269
"229926_at",6.01108405489617,5.14539123471045,5.59943980765206,5.77118260667109,5.70846925079971,6.22915950518868,6.53371100574039,5.40778329631778,5.47141714606225,5.63074057139707,4.83884306417504,6.03548673005794,6.1441656662289,6.36662409094109,5.11608631797362,6.16187727020293,5.85922980765152
"226663_at",9.02488003907948,8.47164523434925,9.54618294317693,9.95389866993337,9.2303775867548,10.2787542596836,9.84232961214614,9.13983088441231,9.3466320185536,9.25211746164439,9.03479535844682,10.2156547412463,10.189095846327,9.86774408058855,9.05770300355323,9.45760477284997,9.38546715175924
"225567_at",8.66556058932062,7.65845737317836,8.10075377517141,8.8687856622395,8.18333514714893,7.48930513747486,7.96049561259766,7.69214679618841,8.58752166907752,7.76780792793062,8.38448717164464,7.34102674665738,6.89472855726179,7.6082968508669,8.32448636710089,8.14867803878814,8.29607408302263
"238360_s_at",6.85173948115706,6.51277717143905,6.05773627347974,6.24233721938743,7.29992224818511,6.82018672343246,7.6475492617303,7.01716833567314,6.85327487226786,7.00868183150378,6.28193809734282,7.61437715968133,7.10124429053941,7.7391231734502,6.30347736914332,7.77610183097025,7.49850371471762
"242518_at",5.42504322632353,5.11345587398737,5.69300607457997,5.64951453398494,5.56142978046156,6.43748497646069,7.01886276627095,5.84686782732252,6.05026258706074,6.47076379541764,5.8564572876707,6.91669612511992,6.85821640816332,6.672972424417,6.1958340822978,6.75831397539744,6.2154332599593
